DATE,BLAST,Pit,Ore/Waste,Type of Material,Diameter,Lenght,Length Total,Subdrill,Burden,Spacing,Stemming,Total of Holes,Weight (kg),BCM,PF (kg/m3),Meters Drilled (m),Burden Old,Spacing Old,Stemming Old,Total of Holes Old,Weight Old,PF (kg/m3) Old,Meters Drilled Old,D20,D50,D80,Xmas (mm),Uniformity index,Initiation System,Number of Photos Analysed,Actual powder factor,Planned powder factor,Passing on 600 mm pourcentage
2025-05-14 00:00:00,Hn2_153-147_109,2,1,10140,140,6,10,1,3.2,3.6,2.6,589,46160,39439,1.2,3898,3.3,3.6,2.5,553.30,76031.59,1.93,5532.97,55.3,89.43,147.07,455,1.93,Nonel,7,1.2,1.29,100
2025-05-17 00:00:00,kp3_260-250_128,30,2,10152,152,10,11,1,3.8,4.3,2.8,553,96136,90360,1.1,6000.3,3.5,4.5,2.8,573.71,101605.04,1.12,6310.86,66.02,120.15,218.02,509,1.76,Nonel,6,1.1,1.06,100
2025-05-23 00:00:00,Kw_290-280_301,40,1,20152,152,4,4,1,3.9,4.3,3.5,93,7766,7018,1.1,452,4,5,3.5,87.73,947.33,0.13,350.90,69.61,122.89,205.36,528,1.86,Nonel,6,1.1,1.15,100
2025-05-27 00:00:00,Hn2_153-147_111,2,1,10140,140,6,7,1,3.2,3.6,2.5,265,21011,17744,1.2,1755,3.3,3.6,2.5,248.93,20524.42,1.16,1742.54,89.73,171.53,283.1,484,1.77,Nonel,7,1.2,1.29,100
2025-05-27 00:00:00,Hn2_153-147_112,2,1,10140,140,6,7,1,3.2,3.6,2.5,138,11569,9240,1.3,946,3.3,3.6,2.5,129.63,10687.88,1.16,907.41,89.73,171.53,283.1,484,1.77,Nonel,7,1.2,1.29,100
2025-06-01 00:00:00,Hn2_153-147_106,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,568,47725,38033,1.3,3972,3.2,3.4,2.5,582.61,47960.91,1.26,4074.19,54.24,128.1,267.43,441,1.46,Nonel,4,1.3,1.29,100
2025-06-02 00:00:00,Kw_290-280_104,40,1,10152,152,10,11,1,3.9,4.3,2.8,768,127609,128794,1.0,7600,3.7,4.3,2.8,809.52,124060.80,0.96,8010.84,75.84,133.52,236.24,528,1.79,Nonel,6,1.0,1.06,100
2025-06-04 00:00:00,Hn2_171-159_903,2,2,10140,140,12,13,1,3,3,3,70,11340,6300,1.8,736,2.9,3,3,60.34,8308.11,1.32,634.48,43.34,108.07,241.09,809,1.4,Electronic,6,1.8,1.70,100
2025-06-11 00:00:00,Hn2_177-171_910,2,2,10140,140,6,7,1,3.1,3.6,2.8,124,8315,9825.264,0.8,876,3,3.2,2.8,170.58,13328.04,1.36,1205.05,47.09,109.12,274.6,707,1.45,Nonel,7,0.9,1.15,99
2025-06-15 00:00:00,Hn2_147-141_107,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,253,19945,16941,1.2,1669,3.2,3.4,2.5,259.51,19479.70,1.15,1711.96,44.7,88.76,280.66,676,1.49,Electronic,6,1.2,1.29,97
2025-06-17 00:00:00,Kw_290-280_102,40,1,10152,152,10,11,1,3.6,4.2,2.6,610,104615,94998.96,1.1,6308,3.6,3.9,2.6,676.63,113123.71,1.19,6997.03,51.6,110.72,287.06,614,1.45,Electronic,6,1.1,1.20,99
2025-06-23 00:00:00,Hn2_159-153_901,2,2,10140,140,6,7,1,3.1,3.6,2.8,42,3407,3234.168,1.1,291,3,3.2,2.8,56.15,4247.32,1.31,389.03,49.47,107.24,269.26,750,1.46,Nonel,4,1.1,1.15,96
2025-06-23 00:00:00,Hn2_159-153_902,2,2,10140,140,6,7,1,3.1,3.6,2.8,163,9005,9641.124,0.9,867,3,3.2,2.8,189.49,8745.54,0.91,1007.89,54.35,110.03,253.72,554,1.61,Nonel,4,0.9,1.15,100
2025-06-26 00:00:00,Kw_290-280_101,40,1,10152,152,10,11,1,3.6,4.2,2.6,262,45805,39614.4,1.2,6308,3.6,3.9,2.6,282.15,130873.55,3.30,6793.23,55.6,140.2,267.8,601,1.55,Electronic,6,1.2,1.20,99
2025-06-27 00:00:00,Hn2_147-141_108,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,492,42933,37885.968,1.1,3414,3.2,3.4,2.5,580.36,47202.00,1.25,4027.14,58.06,124.98,258.64,513,1.66,Nonel,6,1.1,1.29,100
2025-07-02 00:00:00,VIN1_261-249_106p1,1,1,10152,152,12,13.2,1.2,3.9,4.4,2.8,68,4580,8868.288,0.5,399.6,3.8,4.3,2.8,92.36,6136.63,0.69,542.73,48.07,109.8,222.69,568,1.62,Nonel ,6,0.5,1.09,100
